State Name,State Fips,Year,Quarter,Month,MW,
Alabama,1,2016,1,1,7.25,
Alabama,1,2016,1,2,7.25,
Alabama,1,2016,1,3,7.25,
Alabama,1,2016,2,4,7.25,
Alabama,1,2016,2,5,7.25,
Alabama,1,2016,2,6,7.25,
Alabama,1,2016,3,7,7.25,
Alabama,1,2016,3,8,7.25,
Alabama,1,2016,3,9,7.25,
Alabama,1,2016,4,10,7.25,
Alabama,1,2016,4,11,7.25,
Alabama,1,2016,4,12,7.25,
Alabama,1,2017,1,1,7.25,
Alabama,1,2017,1,2,7.25,
Alabama,1,2017,1,3,7.25,
Alabama,1,2017,2,4,7.25,
Alabama,1,2017,2,5,7.25,
Alabama,1,2017,2,6,7.25,
Alabama,1,2017,3,7,7.25,
Alabama,1,2017,3,8,7.25,
Alabama,1,2017,3,9,7.25,
Alabama,1,2017,4,10,7.25,
Alabama,1,2017,4,11,7.25,
Alabama,1,2017,4,12,7.25,
Alabama,1,2018,1,1,7.25,
Alabama,1,2018,1,2,7.25,
Alabama,1,2018,1,3,7.25,
Alabama,1,2018,2,4,7.25,
Alabama,1,2018,2,5,7.25,
Alabama,1,2018,2,6,7.25,
Alabama,1,2018,3,7,7.25,
Alabama,1,2018,3,8,7.25,
Alabama,1,2018,3,9,7.25,
Alabama,1,2018,4,10,7.25,
Alabama,1,2018,4,11,7.25,
Alabama,1,2018,4,12,7.25,
Alabama,1,2019,1,1,7.25,
Alabama,1,2019,1,2,7.25,
Alabama,1,2019,1,3,7.25,
Alabama,1,2019,2,4,7.25,
Alabama,1,2019,2,5,7.25,
Alabama,1,2019,2,6,7.25,
Alabama,1,2019,3,7,7.25,
Alabama,1,2019,3,8,7.25,
Alabama,1,2019,3,9,7.25,
Alaska,2,1960,1,1,1.5,
Alaska,2,1960,1,2,1.5,
Alaska,2,1960,1,3,1.5,
Alaska,2,1960,2,4,1.5,
Alaska,2,1960,2,5,1.5,
Alaska,2,1960,2,6,1.5,
Alaska,2,1960,3,7,1.5,
Alaska,2,1960,3,8,1.5,
Alaska,2,1960,3,9,1.5,
Alaska,2,1960,4,10,1.5,
Alaska,2,1960,4,11,1.5,
Alaska,2,1960,4,12,1.5,
Alaska,2,1961,1,1,1.5,
Alaska,2,1961,1,2,1.5,
Alaska,2,1961,1,3,1.5,
Alaska,2,1961,2,4,1.5,
